state,Year,crop_type,planted_area,production,yield
Terengganu,2017,paddy,16919,67715,4.002
Terengganu,2018,paddy,17431,74335,4.265
Terengganu,2019,paddy,18341,71382,3.892
Terengganu,2020,paddy,19071,73723,3.866
Terengganu,2021,paddy,19601,72023,3.674
Terengganu,2022,paddy,18957,62712,3.308
Terengganu,2017,spices,219.3,1303.7,5.945
Terengganu,2018,spices,222.4,1043.6,4.692
Terengganu,2019,spices,129,864.9,6.705
Terengganu,2020,spices,110.9,990.2,8.929
Terengganu,2021,spices,175.1,797,4.552
Terengganu,2022,spices,167.9,955,5.688
Terengganu,2017,vegetables,1306.1,18018,13.795
Terengganu,2018,vegetables,1181.5,16870,14.278
Terengganu,2019,vegetables,1139.6,15264.2,13.394
Terengganu,2020,vegetables,981.4,11874.2,12.099
Terengganu,2021,vegetables,1185.3,15112.1,12.75
Terengganu,2022,vegetables,1069.3,15052.6,14.077
