"state","date","crop_type","production","planted_area","yield","Min_Temp","Max_Temp","Total_Rainfall_mm","Rainy_Days","Humidity"
"Perak",2020,"paddy",232437,76201,3.05,24.267,32.967,2479.167,203,81.967
"Perak",2021,"coconut",81288.4,7568.2,10.741,23.767,32.767,2336.867,184.667,80.867
"Perak",2021,"fruits",121457.8,11439.3,10.618,23.767,32.767,2336.867,184.667,80.867
"Perak",2021,"paddy",244397,74949,3.261,23.767,32.767,2336.867,184.667,80.867
"Perlis",2019,"coconut",3405,429.6,7.926,24.2,33.4,1553.8,151,81.4
"Perlis",2019,"fruits",10580.9,2895.5,3.654,24.2,33.4,1553.8,151,81.4
"Perlis",2019,"paddy",209828,51612,4.065,24.2,33.4,1553.8,151,81.4
"Perlis",2020,"coconut",3360,400,8.4,24.3,33.2,2195,172,82.8
"Perlis",2020,"fruits",8631.3,1957.1,4.41,24.3,33.2,2195,172,82.8
"Perlis",2020,"paddy",203275,51598,3.94,24.3,33.2,2195,172,82.8
"Perlis",2021,"coconut",3133.8,391.1,8.013,24.1,32.8,2081,168,83.6
"Perlis",2021,"fruits",6575.4,1485.6,4.426,24.1,32.8,2081,168,83.6
"Perlis",2021,"paddy",256034,60478,4.234,24.1,32.8,2081,168,83.6
"Sabah",2019,"coconut",55337.1,17041,3.247,23.317,31.783,1749.733,162.333,80.55
"Sabah",2019,"fruits",127771.1,18484,6.913,23.317,31.783,1749.733,162.333,80.55
"Sabah",2019,"paddy",112569,43546,2.585,23.317,31.783,1749.733,162.333,80.55
"Sabah",2020,"coconut",57392.1,17274.7,3.322,23.517,31.417,2372.717,190.333,82.767
"Sabah",2020,"fruits",123396.6,19112.5,6.456,23.517,31.417,2372.717,190.333,82.767
"Sabah",2020,"paddy",117846,40446,2.914,23.517,31.417,2372.717,190.333,82.767
"Sabah",2021,"coconut",59214.8,18257.7,3.243,23.233,31.133,2711.867,206.667,83.65
"Sabah",2021,"fruits",123132.2,20301.3,6.065,23.233,31.133,2711.867,206.667,83.65
"Sabah",2021,"paddy",112284,38732,2.899,23.233,31.133,2711.867,206.667,83.65
"Sarawak",2019,"coconut",54023.3,12401.1,4.356,23.8,32.775,2314.863,206.125,85
"Sarawak",2019,"fruits",160713.7,35769.8,4.493,23.8,32.775,2314.863,206.125,85
"Sarawak",2019,"paddy",215491,109261,1.972,23.8,32.775,2314.863,206.125,85
"Sarawak",2020,"coconut",51490.3,12003.3,4.29,23.938,32.35,3961.35,248.75,86.475
"Sarawak",2020,"fruits",174313.9,36868.7,4.728,23.938,32.35,3961.35,248.75,86.475
"Sarawak",2020,"paddy",167588.9,90865.2,1.844,23.938,32.35,3961.35,248.75,86.475
"Sarawak",2021,"coconut",24139.1,11947.8,2.02,23.6,32.262,3991.925,234.625,85.6
"Sarawak",2021,"fruits",145573,36814.1,3.954,23.6,32.262,3991.925,234.625,85.6
"Sarawak",2021,"paddy",148903,83143,1.791,23.6,32.262,3991.925,234.625,85.6
"Selangor",2019,"coconut",99760.7,15075.7,6.617,25.067,33.333,2895.833,189.333,76.033
"Selangor",2019,"fruits",29414.3,2038.2,14.432,25.067,33.333,2895.833,189.333,76.033
"Selangor",2019,"paddy",174088,36602,4.756,25.067,33.333,2895.833,189.333,76.033
"Selangor",2020,"coconut",105129.1,10239.1,10.267,25.133,33.1,3139.2,199,76.733
"Selangor",2020,"fruits",33288.1,2096.1,15.881,25.133,33.1,3139.2,199,76.733
"Selangor",2020,"paddy",159535,36004,4.431,25.133,33.1,3139.2,199,76.733
"Selangor",2021,"coconut",107558.9,9119.7,11.794,24.4,32.7,2812.1,176.5,76.7
"Selangor",2021,"fruits",35605.4,5288.1,6.733,24.4,32.7,2812.1,176.5,76.7
"Selangor",2021,"paddy",155631,35885,4.337,24.4,32.7,2812.1,176.5,76.7
"Terengganu",2019,"coconut",16144.2,4991.9,3.234,24.35,31.65,1603.5,111.5,83.3
"Terengganu",2019,"fruits",57368.9,7579.6,7.569,24.35,31.65,1603.5,111.5,83.3
"Terengganu",2019,"paddy",71382,18341,3.892,24.35,31.65,1603.5,111.5,83.3
"Terengganu",2020,"coconut",15513.6,4657.9,3.331,24.5,31.4,3238.8,177.5,84.1
"Terengganu",2020,"fruits",34879.6,7399.6,4.714,24.5,31.4,3238.8,177.5,84.1
"Terengganu",2020,"paddy",73723,19071,3.866,24.5,31.4,3238.8,177.5,84.1
"Terengganu",2021,"coconut",20120.7,2359.8,8.526,24.15,31.15,2518.4,184.5,83.75
"Terengganu",2021,"fruits",49649.6,7652.9,6.488,24.15,31.15,2518.4,184.5,83.75
"Terengganu",2021,"paddy",72023,19601,3.674,24.15,31.15,2518.4,184.5,83.75
